time, x, y
157.805,0.35969234250557447,-2.3638645577992214
158.055,0.358751548982135,-2.36351203842487
158.309,0.3577127794760521,-2.3629645608873724
158.554,0.35685198626547054,-2.36235806405275
158.806,0.35591877847226205,-2.3614968365300255
159.06,0.3547749477667745,-2.360097607200674
159.307,0.35389061591258325,-2.3587715272747873
159.555,0.3535188099600363,-2.3580542935481588
159.806,0.35311534320783916,-2.3569443805516253
160.061,0.35288973343985763,-2.355968384624407
160.304,0.35276998020559736,-2.3548254899629395
160.557,0.3527893018504256,-2.353829277672675
160.805,0.35295772653323015,-2.3526800547739595
161.06,0.35323750089922823,-2.3516822479249573
161.313,0.353722558021649,-2.3505484564146815
161.555,0.35435660964066285,-2.349484634870269
161.805,0.3553592904141653,-2.348173368873406
162.059,0.35623432170416847,-2.347259158825947
162.304,0.35730068464423176,-2.3461564650372906
162.556,0.3721043952020155,-2.3315140373471066
162.813,0.4011681123746467,-2.303789300931492
163.054,0.4262351059566445,-2.2798667421762264
163.308,0.45520253534510874,-2.2522561791440405
163.557,0.4805929923989756,-2.2280809559643022
163.809,0.5093427787081053,-2.2006940084352027
164.075,0.5382804235688228,-2.1731612999968912
164.304,0.560025977693846,-2.1524897494748108
164.554,0.5888450712521777,-2.125085682014073
164.805,0.6179425601576504,-2.097447373438395
165.054,0.6431311272711772,-2.0735245260988893
165.304,0.6684106587474576,-2.049539662510279
165.563,0.697553816771029,-2.021906959232695
165.814,0.7264107414117121,-1.9945486883527022
166.071,0.7517551855608441,-1.9705425469804712
166.305,0.7809319889344007,-1.9429342473380447
166.556,0.8060733696391866,-1.919132788706609
166.805,0.8314649760959312,-1.8951228998098089
167.055,0.8606006890828324,-1.867597041505871
167.304,0.8858082772645443,-1.8437791581359066
167.557,0.914972071166677,-1.8162524174928187
167.805,0.943960929840319,-1.7888994883209524
168.054,0.9693200257346435,-1.7649949381141872
168.306,0.994825855495192,-1.7409655741505508
168.556,1.0237957449393211,-1.713676507831194
168.804,1.0491975458876877,-1.6897697370058335
169.06,1.0784656684957996,-1.662247986497274
169.308,1.107398536884447,-1.6350350361242658
169.564,1.1328669554292248,-1.6111038992018218
169.81,1.1620838346953148,-1.5836740154235212
170.054,1.1873671342857097,-1.5599343112356416
170.333,1.21661835913614,-1.5324975814395336
170.558,1.2420196579401308,-1.5086780705774225
170.804,1.27112265382878,-1.4814102924365795
171.058,1.2967031927443404,-1.4574584949778804
171.309,1.3257558665293485,-1.4302592085025032
171.557,1.3423992689524502,-1.414661895545509
171.804,1.3433832237631047,-1.4137749255553897
172.054,1.3443599860560045,-1.4131027812259578
172.307,1.3455303607169573,-1.4125189332550157
172.56,1.3478301051001924,-1.411736554340182
172.808,1.349370306954829,-1.411370691734159
173.061,1.3505499074848244,-1.4112402446722958
173.316,1.3516421890883328,-1.4112500855998673
173.555,1.3526069911946463,-1.411377978914602
173.81,1.3536755243049066,-1.411654527329448
174.054,1.3545779287466548,-1.412012019857448
174.305,1.3555692566465167,-1.4125572807415292
174.556,1.356388389599351,-1.4131553630846256
174.804,1.3571682143891923,-1.4138846185288276
175.058,1.358286906812636,-1.4152801651462403
175.312,1.35927352243786,-1.416820401280683
175.554,1.3595933861211784,-1.417457585736205
175.804,1.360650167749011,-1.419827352296074
176.054,1.3707409563473656,-1.43978570987182
176.308,1.3891991491896056,-1.4754691064303258
176.559,1.4051503433989267,-1.5062973753203384
176.814,1.423562792107507,-1.541820988332282
177.054,1.4396900864967033,-1.5729610662610363
177.306,1.4580013621879793,-1.6082562824351725
177.554,1.4741189530678405,-1.639288606270863
177.811,1.4925440228955749,-1.6748030937786782
178.059,1.5086015791189664,-1.705665890263262
178.307,1.5271245096476969,-1.7412626367807649
178.555,1.5431789148549693,-1.7721376147273722
178.81,1.5616466613122018,-1.8075585662340574
179.08,1.5801471144568306,-1.8430513767656553
179.306,1.596265040832881,-1.8739571580386638
179.56,1.6124289551874758,-1.904891939050452
179.806,1.631025460421963,-1.9405073109687396
180.057,1.6470951014611166,-1.9712372343653368
180.318,1.6656732857522272,-2.006723733248368
180.556,1.6818916076897077,-2.037741443654774
180.821,1.7003714274004436,-2.072983053880566
181.057,1.716633668662953,-2.1039832925778277
181.304,1.7328135781100484,-2.134861526469028
181.559,1.7513781802250385,-2.1701860234444914
181.805,1.7700604849052055,-2.205736790627337
182.061,1.7862224362454853,-2.2364947252426037
