time, x, y
82.037,0.12642636925865272,-0.7208806328859698
82.301,0.12642403535275565,-0.7208735961189825
82.545,0.12642201414126206,-0.7208674626093905
82.8,0.12641975288048193,-0.720860554308235
83.036,0.12641779569338532,-0.7208545329447066
83.302,0.1264156072959984,-0.7208477512596315
83.546,0.12641344971389107,-0.7208410111617236
83.789,0.12641159888530626,-0.720835183969293
84.04,0.1264097701768619,-0.7208293826883025
84.298,0.12640772805705355,-0.7208228495835479
84.545,0.1264057175971454,-0.7208163572448596
84.787,0.12640399544181838,-0.7208107447184238
85.045,0.12640205909193966,-0.7208043735690347
85.304,0.12640040171560235,-0.7207988661905562
85.548,0.1263985398052547,-0.7207926149050708
85.792,0.12639694767189893,-0.7207872114286415
86.042,0.12639537944660917,-0.7207818329906557
86.298,0.12639363430433195,-0.7207757773184994
86.54,0.12639213217738784,-0.7207705011878276
86.8,0.12639046229112177,-0.7207645612561652
87.038,0.12638902703189026,-0.7207593862898035
87.29,0.12638743394674082,-0.7207535604271523
87.537,0.12638606648914252,-0.7207484850591597
87.79,0.1263845506354668,-0.7207427718429874
88.047,0.12638307053642478,-0.7207370969071183
88.291,0.126381813002464,-0.7207321932091623
88.554,0.12638041118007515,-0.7207266292833876
88.809,0.12637922214180988,-0.7207218219937831
89.046,0.12637789906158903,-0.7207163681085219
89.289,0.1263767790793746,-0.7207116563704457
89.556,0.1263755354816528,-0.7207063113769729
89.789,0.12637448507903218,-0.7207016942193734
90.043,0.12637346288186024,-0.7206971013930982
90.307,0.12637234089564023,-0.7206919339010742
90.542,0.12637138927024083,-0.7206874347997442
90.789,0.12637034792331314,-0.7206823732997286
91.045,0.12636934595199192,-0.7206773492164988
91.294,0.12636847677261887,-0.7206730096202251
91.54,0.12636755022001495,-0.720668686991204
91.789,0.12636647606673712,-0.7206638176509316
92.038,0.12636551316467262,-0.7206595737687529
92.292,0.12636439799550916,-0.7206547951860454
92.536,0.12636339893531462,-0.7206506318326078
92.806,0.12636224282901992,-0.7206459456924804
93.037,0.12636120800594933,-0.7206418648229291
93.288,0.12636001164090596,-0.7206372735651159
93.536,0.12635894179870907,-0.7206332769723998
93.801,0.1263577058590154,-0.7206287826826261
94.043,0.1263566022585413,-0.7206248725357443
94.288,0.1263553282375842,-0.7206204771612035
94.537,0.12635419088097977,-0.7206166543701744
94.791,0.1263528791535255,-0.7206123592850989
95.038,0.12635170842633056,-0.7206086261306505
95.296,0.12635035863719102,-0.7206044348232549
95.542,0.12634915449560224,-0.7206007943668877
95.786,0.12634776721216776,-0.7205967097206082
96.04,0.12634653061154827,-0.7205931642435878
96.291,0.12634510632446463,-0.720589188364523
96.537,0.12634383727603207,-0.7205857391595023
96.793,0.12634237660631586,-0.720581873881163
97.037,0.1263410756135148,-0.7205785231885027
97.287,0.12633957881213942,-0.7205747712967895
97.537,0.1263382466966014,-0.7205715211220401
97.789,0.12633671543551825,-0.7205678846288106
98.038,0.12633535273544896,-0.7205647371476804
98.29,0.1263337865808876,-0.7205612183586764
98.536,0.1263323939890342,-0.7205581754136431
98.789,0.1263307943071886,-0.7205547766568915
99.041,0.12632937260312352,-0.720551840334838
99.292,0.1263277401890396,-0.7205485639822298
99.541,0.126326289486612,-0.7205457367143145
99.79,0.12632462401527833,-0.7205425860882914
100.038,0.12632314468302294,-0.720539870692299
100.288,0.12632144740485018,-0.7205368485253192
100.544,0.12631994172742853,-0.7205342472210337
100.787,0.12631821549542738,-0.7205313559669009
101.04,0.12631668422169273,-0.7205288709874833
101.291,0.12631492873599395,-0.7205261133422804
101.547,0.1263133709127164,-0.7205237471396995
101.787,0.1263115853786772,-0.720521125955087
102.039,0.1263100018660879,-0.720518881119253
102.287,0.1263081873982302,-0.7205163996605765
102.536,0.1263065785296644,-0.7205142793897077
102.79,0.12630473543894943,-0.7205119411788209
103.045,0.1263031017339408,-0.7205099482677606
103.292,0.12630123075045102,-0.7205077563916336
103.538,0.12629957280305582,-0.7205058936112515
103.787,0.12629767461573319,-0.7205038512853201
104.04,0.12629599303724257,-0.7205021215231552
