time,goal_x,goal_y,x,y,er_x,er_y
26.583,-3.893193148096895,-1.8324031194386854,-4.01949974043335,-1.3297099855271683,-3.76688655576044,-2.335096253350202
26.833,-3.892826327354488,-1.8337018501835542,-4.019495249735079,-1.3297074293511606,-3.766157404973897,-2.3376962710159477
27.083,-3.892822071801078,-1.8335562307898736,-4.019490143778125,-1.3297045220641572,-3.7661539998240317,-2.33740793951559
27.333,-3.893803053092525,-1.8294941748153708,-4.019485651061929,-1.3297019631623201,-3.768120455123121,-2.3292863864684215
27.583,-3.8925619117868577,-1.8341158151854644,-4.019480542807451,-1.3296990527730403,-3.7656432807662643,-2.3385325775978885
27.833,-3.894230270622904,-1.827325808428434,-4.019476048071792,-1.3296964911522906,-3.7689844931740164,-2.3249551257045775
28.083,-3.89225692449556,-1.835003369487948,-4.019470937509264,-1.3296935777347731,-3.7650429114818555,-2.3403131612411228
28.333,-3.892143560123248,-1.8352920196529419,-4.019466440720098,-1.3296910134933144,-3.7648206795263985,-2.3408930258125693
28.583,-3.893418719122864,-1.829916925617981,-4.019461327812954,-1.3296880970960667,-3.767376110432774,-2.3301457541398953
28.833,-3.8925170871951402,-1.8333341698668415,-4.019456828960752,-1.3296855302318842,-3.765577345429528,-2.336982809501799
29.083,-3.893382032888484,-1.8297409343814743,-4.0194517137079195,-1.329682610851607,-3.7673123520690486,-2.3297992579113416
29.333,-3.8920019953129406,-1.8350532649214535,-4.019447212791744,-1.329680041361809,-3.7645567778341373,-2.3404264884810977
29.583,-3.891543901151631,-1.8365545568554655,-4.01944209519215,-1.3296771189952055,-3.763645707111112,-2.3434319947157256
29.833,-3.8928986821772,-1.8310249477216831,-4.019437592211062,-1.329674546876885,-3.7663597721433373,-2.3323753485664813
30.083,-3.8924377970209063,-1.8326886823658328,-4.019432472263639,-1.3296716215206505,-3.765443121778174,-2.3357057432110153
30.333,-3.8927709183856325,-1.8312087383327151,-4.0194279672166955,-1.329669046770898,-3.7661138695545695,-2.3327484298945325
30.583,-3.8924169204756436,-1.8322976782363796,-4.019422844920371,-1.3296661184217224,-3.7654109960309166,-2.3349292380510365
30.833,-3.892494342597165,-1.831830619168136,-4.019418337806627,-1.3296635410376247,-3.7655703473877025,-2.3339976972986474
31.083,-3.891481036927403,-1.8356765506378125,-4.0194132131603295,-1.3296606096921926,-3.763548860694477,-2.3416924915834327
31.333,-3.892608812277545,-1.8310554090873317,-4.0194087039788435,-1.3296580296708307,-3.7658089205762457,-2.332452788503833
31.583,-3.8908356319555004,-1.8377510220824533,-4.019403576978262,-1.3296550953242918,-3.762267686932739,-2.345846948840615
31.833,-3.8917030284629326,-1.834161788913976,-4.019399065720021,-1.329652512659528,-3.764006991205844,-2.338671065168424
32.083,-3.8917946623634574,-1.8336371962181552,-4.0193939363573365,-1.3296495753069792,-3.764195388369578,-2.3376248171293312
32.333,-3.892178495234851,-1.8319604659866822,-4.019389423022353,-1.3296469899973722,-3.7649675674473486,-2.334273941975992
32.583,-3.892443607202682,-1.830601789798966,-4.019384291298387,-1.3296440496366289,-3.765502923106977,-2.331559529961303
32.833,-3.8921038606373495,-1.8317819236051878,-4.0193797758857075,-1.3296414616792476,-3.7648279453889915,-2.333922385531128
33.083,-3.8926989506774827,-1.8292728004752228,-4.01937464179938,-1.329638518306973,-3.766023259555586,-2.3289070826434726
33.333,-3.8911923263912627,-1.8350536131636737,-4.01937012430806,-1.3296359276988805,-3.763014528474465,-2.340471298628467
33.583,-3.8922525231078966,-1.8305613769066131,-4.019364987858287,-1.3296329813117338,-3.7651400583575056,-2.3314897725014925
33.833,-3.891901048792854,-1.8317858382178627,-4.019360468287363,-1.3296303880499905,-3.7644416292983447,-2.333941288385735
34.083,-3.8924004214686185,-1.8296570182085752,-4.0193553294730595,-1.3296274386446283,-3.765445513464177,-2.3296865977725223
34.333,-3.8923105435105154,-1.8298509189182943,-4.0193508078215885,-1.3296248427262927,-3.7652702791994423,-2.330076995110296
34.583,-3.891016679822055,-1.8346313791214617,-4.019345666641675,-1.3296218902993695,-3.7626876930024356,-2.3396408679435536
34.833,-3.8917951291712374,-1.8314074390363664,-4.019341142908701,-1.3296192917214935,-3.7642491154337736,-2.3331955863512395
35.083,-3.8919768057384836,-1.8305310160598431,-4.019335999362086,-1.3296163362696554,-3.764617612114881,-2.331445695850031
35.333,-3.890849519617143,-1.8348032019765594,-4.0193314735472825,-1.3296137350312682,-3.7623675656870033,-2.339992668921851
35.583,-3.892153763896438,-1.8293638453151047,-4.019326327628164,-1.3296107765939338,-3.764981200164712,-2.3291169140362755
35.833,-3.8921136563213543,-1.829361507168521,-4.019321799709453,-1.3296081727686417,-3.7649055129332556,-2.3291148415684
36.083,-3.8909502024618794,-1.8337696812476776,-4.01931665138565,-1.3296052113971772,-3.762583753538108,-2.337934151098178
36.333,-3.8916135852542766,-1.831003827642193,-4.019312121350957,-1.3296026049892737,-3.7639150491575957,-2.332405050295112
36.583,-3.8911006884396477,-1.8327046417201598,-4.019306970621232,-1.3295996406804111,-3.762894406258064,-2.335809642759908
36.833,-3.8912076575956465,-1.8321241492016025,-4.019302438469544,-1.3295970316870582,-3.763112876721749,-2.334651266716147
37.083,-3.891702997074977,-1.8300193681136918,-4.019297285332749,-1.3295940644375634,-3.7641087088172043,-2.33044467178982
37.333,-3.8915066964563567,-1.8306289494004666,-4.019292751063063,-1.3295914528559198,-3.76372064184965,-2.3316664459450136
