28.311,-6.068871429448552,1.28713477373176,-5.321226936085369,1.862946416810037,-6.816515922811735,0.7113231306534828
28.561,-6.118690183897674,1.3165880712995799,-5.359437242168217,1.8325636737982585,-6.877943125627131,0.8006124688009015
28.811,-6.214293592401026,1.3800517082442423,-5.394442731826193,1.8087122715796053,-7.034144452975857,0.9513911449088793
29.061,-6.266142508913392,1.4133272397514927,-5.436718622090764,1.784420587619382,-7.09556639573602,1.0422338918836034
29.311,-6.3180887085225805,1.445627961170691,-5.474984929614466,1.7660562371045352,-7.161192487430694,1.1251996852368469
29.561,-6.364042485996968,1.482594928687977,-5.520368906605092,1.7483205854175083,-7.207716065388844,1.2168692719584457
29.811,-6.440571414825412,1.5680890559473764,-5.560886599520126,1.7358933114455595,-7.320256230130698,1.4002848004491932
30.061,-6.489853290687434,1.6102316334776354,-5.608547861612662,1.7250867747031366,-7.371158719762207,1.495376492252134
30.311,-6.533732698146668,1.655501575493742,-5.65040925609897,1.7188143214935723,-7.417056140194365,1.5921888294939117
30.561,-6.58135012041936,1.7038487675709897,-5.699117409150324,1.7152187284309026,-7.463582831688397,1.692478806711077
30.811,-6.6434917440456935,1.8072748327639652,-5.741520606449251,1.715206134626848,-7.545462881642136,1.8993435309010824
31.061,-6.701325474117514,1.8085008214937097,-5.788827129682082,1.7165180655049455,-7.613823818552946,1.900483577482474
31.311,-6.760539603151248,1.754302847866588,-5.8300599108079405,1.7148021373324243,-7.691019295494555,1.7938035584007521
31.561,-6.809063131840732,1.695351012031208,-5.87695228683725,1.7093560010233266,-7.741173976844213,1.6813460230390893
31.811,-6.871922751454836,1.6545156542630082,-5.918758793671506,1.703021936901955,-7.825086709238166,1.6060093716240615
32.061,-6.92455007620981,1.6594694830113652,-5.965186794081188,1.6974898471161826,-7.8839133583384315,1.621449118906548
32.311,-6.968419562985494,1.6215925658779828,-6.007066483706743,1.6914745558506432,-7.929772642264243,1.5517105759053222
32.561,-7.011693435982223,1.6720718920589994,-6.054450566750987,1.686788806346155,-7.968936305213459,1.6573549777718437
32.811,-7.078138351924315,1.6652482388111869,-6.096385682068914,1.6819566401978623,-8.059891021779714,1.6485398374245115
33.061,-7.12252664881971,1.6644296409056287,-6.144231483238386,1.677791602077075,-8.100821814401034,1.6510676797341823
33.311,-7.173629347076801,1.624586131500569,-6.185901290734134,1.6729287068043297,-8.16135740341947,1.5762435561968084
33.561,-7.221979559568915,1.671843013759476,-6.2334068676510475,1.6684333732964307,-8.210552251486781,1.6752526542225212
33.811,-7.286239141110229,1.5426990937913159,-6.273918887553287,1.6615340696385004,-8.298559394667173,1.4238641179441316
34.061,-7.343671338649043,1.5385408707834087,-6.321524623160991,1.6521636496989365,-8.365818054137094,1.4249180918678808
34.311,-7.399207367417086,1.5929421569590017,-6.363530879032493,1.6469407912047993,-8.43488385580168,1.5389435227132042
34.561,-7.465336292900953,1.651279486265592,-6.412295055347608,1.6445480070489542,-8.518377530454298,1.6580109654822295
